ТЦ/ТРК,Арендатор / бренд,brand_normalized,Характеристика бренда,Категория итоговая,Категория проверенная,Категория 2ГИС/Яндекс,Тип категории,Роль tenant-mix,Источник,Источник URL,Статус строки,Статус подтверждения,Основание категории,Требует ручной проверки,Комментарий аудитора
KazanMall,12Storeez,12storeez,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,2MOOD,2mood,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,2scoop,2scoop,Уникальный,Спортивные товары,Спортивные товары,"Спортивное питание, Товары для спорта",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Спортивное питание, Товары для спорта",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Acoola,acoola,Пересекающийся,Детские товары,Детские товары,Детские товары,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Детские товары,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ADAMAS,adamas,Пересекающийся,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Ювелирные изделия,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,All We Need,all we need,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,AllTime,alltime,Пересекающийся,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Часы,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Часы,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ANTA SPORTS,anta sports,Пересекающийся,Детские товары,Детские товары,"Обувь, Одежда, Детские товары, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Обувь, Одежда, Детские товары, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ASK!,ask,Уникальный,"Электроника, техника и связь","Электроника, техника и связь",Цифровая техника,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Цифровая техника,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Askona,askona,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Товары для дома,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Товары для дома,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Baden,baden,Пересекающийся,Обувь,Обувь,Обувь,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Обувь,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,BAON,baon,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Befree,befree,Пересекающийся,Одежда,Одежда,"Одежда, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,BEGÉ,bege,Уникальный,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,BORK,bork,Пересекающийся,"Электроника, техника и связь","Электроника, техника и связь",Бытовая техника,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Бытовая техника,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Brusnika,brusnika,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,BunglyBoo,bunglyboo,Уникальный,Детские товары,Детские товары,"Детская одежда, Детские товары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Детская одежда, Детские товары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Cacharel,cacharel,Пересекающийся,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,CALLIOPE,calliope,Уникальный,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Calzedonia,calzedonia,Пересекающийся,Нижнее белье,Нижнее белье,Нижнее белье,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Нижнее белье,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Charuel,charuel,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Choupette,choupette,Пересекающийся,Детские товары,Детские товары,Детская одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Детская одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Cinnabon,cinnabon,Пересекающийся,Кафе и рестораны,Кафе и рестораны,Десерты,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/cinnabon/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Десерты,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,CLAN VI,clan vi,Уникальный,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,CLEVER,clever,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Colin's,colin s,Пересекающийся,Одежда,Одежда,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,COZY HOME,cozy home,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Товары для дома,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Товары для дома,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,CR,cr,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Cuvee,cuvee,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Demix,demix,Пересекающийся,Спортивные товары,Спортивные товары,Товары для спорта,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Товары для спорта,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,DNS,dns,Пересекающийся,"Электроника, техника и связь","Электроника, техника и связь","Бытовая техника, Цифровая техника",retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Бытовая техника, Цифровая техника",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,DR. SADYKOVA,dr sadykova,Уникальный,Красота и здоровье,Красота и здоровье,Косметика,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Косметика,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ECCO,ecco,Пересекающийся,Обувь,Обувь,"Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Edalin jewelry,edalin jewelry,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Ювелирные изделия,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,EKONIKA,ekonika,Пересекающийся,Обувь,Обувь,"Обувь, Аксессуары, Сумки",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Обувь, Аксессуары, Сумки",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Electro Karting,electro karting,Уникальный,Развлечения и досуг,Развлечения и досуг,Картодром,entertainment / traffic generator,leisure,официальный сайт,https://kazanmall.com/entertainment/#popup--brand23853,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: entertainment; рубрика: Картодром,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Emka,emka,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ENN,enn,Уникальный,Одежда,Одежда,,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: не указана,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Eshak,eshak,Уникальный,Кафе и рестораны,Кафе и рестораны,Восточная кухня,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/eshak/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Восточная кухня,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Estel,estel,Пересекающийся,Красота и здоровье,Красота и здоровье,"Косметика, Парфюм",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Косметика, Парфюм",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Fiesta Pizza,fiesta pizza,Уникальный,Кафе и рестораны,Кафе и рестораны,Европейская кухня,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/fiesta-pizza/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Европейская кухня,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Finn Flare,finn flare,Пересекающийся,Одежда,Одежда,"Одежда, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Francesco Donni,francesco donni,Пересекающийся,Одежда,Одежда,"Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,FUNDAY,funday,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Gagawa,gagawa,Пересекающийся,Кафе и рестораны,Кафе и рестораны,Международная кухня,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/gagawa/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Международная кухня,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Gamma D'Oro,gamma d oro,Пересекающийся,Красота и здоровье,Красота и здоровье,Парфюм,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Парфюм,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Gazon,gazon,Уникальный,Кафе и рестораны,Кафе и рестораны,Мексиканская кухня,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/gazon/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Мексиканская кухня,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,GEOX,geox,Пересекающийся,Обувь,Обувь,"Аксессуары, Обувь, Одежда",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Аксессуары, Обувь, Одежда",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,GIPFEL,gipfel,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Товары для дома,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Товары для дома,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Gloria Jeans,gloria jeans,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Gulliver,gulliver,Пересекающийся,Детские товары,Детские товары,Детские товары,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Детские товары,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,HENDERSON,henderson,Пересекающийся,Одежда,Одежда,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Hot Pho,hot pho,Уникальный,Кафе и рестораны,Кафе и рестораны,Восточная кухня,food & beverage,food,официальный сайт,https://kazanmall.com/food-court/hot-pho/,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: food; рубрика: Восточная кухня,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,INCANTO,incanto,Пересекающийся,Нижнее белье,Нижнее белье,Нижнее белье,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Нижнее белье,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Intimissimi,intimissimi,Пересекающийся,Нижнее белье,Нижнее белье,Нижнее белье,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Нижнее белье,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,IRKE,irke,Уникальный,Обувь,Обувь,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,ISLAND SOUL JEWELRY,island soul jewelry,Пересекающийся,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Аксессуары,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Аксессуары,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,KANZLER,kanzler,Пересекающийся,Одежда,Одежда,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Kaporal,kaporal,Уникальный,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Kari,kari,Пересекающийся,Обувь,Обувь,"Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Kuchenland Home,kuchenland home,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Товары для дома,retail/services,целевой трафик / мини-якорь,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Товары для дома,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,L`Occitane,l occitane,Пересекающийся,Красота и здоровье,Красота и здоровье,"Косметика, Парфюм",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Косметика, Парфюм",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Lacoste,lacoste,Пересекающийся,Одежда,Одежда,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Lavarice,lavarice,Пересекающийся,Нижнее белье,Нижнее белье,"Купальники, Нижнее белье",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Купальники, Нижнее белье",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Lerella,lerella,Уникальный,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Levi's,levi s,Пересекающийся,Одежда,Одежда,"Одежда, Обувь, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Обувь, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,Lexmer,lexmer,Пересекающийся,Одежда,Одежда,Одежда,retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16",официальные разделы: shops; рубрика: Одежда,False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
KazanMall,LIME,lime,Пересекающийся,Одежда,Одежда,"Одежда, Аксессуары",retail/services,retail,официальный сайт,javascript:void(0);,дозагружено из официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-16","официальные разделы: shops; рубрика: Одежда, Аксессуары",False,Официальный каталог KazanMall; карточек бренда: 1; источник проверен 2026-07-16
